iter	Passed	Remaining
0	1	128
1	2	118
2	3	107
3	4	111
4	6	120
5	7	118
6	8	118
7	10	115
8	10	110
9	11	106
10	13	108
11	14	107
12	16	108
13	17	106
14	18	106
15	20	105
16	21	105
17	22	103
18	23	101
19	25	100
20	26	98
21	27	96
22	29	97
23	30	95
24	31	93
25	32	91
26	33	90
27	34	89
28	35	87
29	36	85
30	38	84
31	39	83
32	39	81
33	41	79
34	42	78
35	43	77
36	45	77
37	46	76
38	47	74
39	48	73
40	50	72
41	51	70
42	52	69
43	53	68
44	54	67
45	56	66
46	57	65
47	59	64
48	60	63
49	62	62
50	64	61
51	65	60
52	66	59
53	68	58
54	68	56
55	69	54
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	77	47
62	78	46
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	86	38
69	87	37
70	88	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	109	14
88	110	13
89	112	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	123	2
98	125	1
99	126	0
